,country,year,suicides_no,population,suicides_calc,gdp,gdp_per_capita
12632,Israel,2003,417,6003127,6.946379778405488,126864966909,21133
12644,Israel,2004,411,6109931,6.726753542715949,135445033199,22168
12656,Israel,2005,425,6220861,6.831851732420962,142462925574,22901
12668,Israel,2006,367,6334485,5.793683306535574,153966916311,24306
12680,Israel,2007,326,6448814,5.055193094420153,178706717753,27712
12692,Israel,2008,354,6565602,5.391737117175241,215840354627,32874
12704,Israel,2009,404,6731835,6.001335445684572,207419370241,30812
12716,Israel,2010,480,6849825,7.007478293241069,233609522091,34104
12860,Italy,1991,4453,54465500,8.175817719473795,1242109397534,22805
12872,Italy,1992,4543,54154898,8.388899559925308,1315806985860,24297
12884,Italy,1993,4697,54140523,8.675571900182788,1061445225791,19605
12896,Italy,1994,4536,54143049,8.377806724552952,1095590833694,20235
12908,Italy,1995,4569,54141172,8.43904893673155,1170787352906,21625
12920,Italy,1996,4689,54150332,8.659226687659089,1308929351236,24172
12932,Italy,1997,4694,54181477,8.663477372534528,1239050932242,22869
12944,Italy,1998,4504,54250592,8.302213550038312,1266309245009,23342
12956,Italy,1999,4115,54280527,7.58098756115614,1248563179203,23002
12968,Italy,2000,4108,54298946,7.565524384211804,1141759996315,21027
12980,Italy,2001,4030,54333844,7.417108202394073,1162317852349,21392
12992,Italy,2002,4069,54526842,7.462379721165586,1266510634293,23227
13004,Italy,2003,4075,54937570,7.417510457779621,1569649661400,28572
13016,Italy,2004,3986,54988156,7.248833730667382,1798314750435,32704
13028,Italy,2005,3742,55244690,6.773501670477289,1852661982341,33536
13040,Italy,2006,3700,56180672,6.585894878580306,1942633797516,34578
13052,Italy,2007,3757,56583578,6.639735649095927,2203053380783,38935
13064,Italy,2008,3904,57009825,6.847942437992048,2390729163615,41935
13076,Italy,2009,3974,57351830,6.929159889056723,2185160183384,38101
13088,Italy,2010,3989,57637843,6.920800280468511,2125058244243,36869
13232,Jamaica,1991,1,2154835,0.04640726552149004,4071219198,1889
13244,Jamaica,2000,3,2367841,0.12669769634025257,8985352832,3795
13256,Jamaica,2001,5,2391278,0.20909321291794597,9178016493,3838
13268,Jamaica,2002,2,2415717,0.0827911547586079,9694169757,4013
13280,Jamaica,2003,2,2440426,0.08195290494364509,9399447609,3852
13292,Jamaica,2004,1,2464408,0.04057769655024655,10150978155,4119
13304,Jamaica,2005,51,2487169,2.0505241099418656,11204416000,4505
13316,Jamaica,2006,0,2512597,0.0,11905525197,4738
13328,Jamaica,2009,36,2568883,1.4013872955677624,12038829246,4686
13340,Jamaica,2010,3,2586652,0.11598003906207716,13191645686,5100
13436,Japan,1991,19780,116802000,16.934641530110785,3584420077101,30688
13448,Japan,1992,20756,117311000,17.69314045571174,3908809463464,33320
13460,Japan,1993,20353,117735000,17.287127871915743,4454143876947,37832
13472,Japan,1994,20744,118064000,17.570131454126575,4907039384470,41563
13484,Japan,1995,21249,118349500,17.9544484767574,5449116304981,46043
13496,Japan,1996,21967,118785000,18.493075725049458,4833712542207,40693
13508,Japan,1997,23280,119060000,19.55316647068705,4414732843544,37080
13520,Japan,1998,31458,119338000,26.360421659488175,4032509760873,33791
13532,Japan,1999,31115,119540000,26.02894428643132,4562078822335,38164
13544,Japan,2000,29989,119752660,25.042449996517824,4887519660745,40813
13556,Japan,2001,29132,120066000,24.263321839654857,4303544259843,35843
13568,Japan,2002,29715,120189000,24.723560392381998,4115116279070,34239
13580,Japan,2003,31881,120395000,26.48033556210806,4445658071222,36926
13592,Japan,2004,30034,120500000,24.92448132780083,4815148854362,39960
13604,Japan,2005,30369,120657507,25.16959015239723,4755410630912,39412
13616,Japan,2006,29769,120702000,24.663220162051996,4530377224970,37534
13628,Japan,2007,30665,120704000,25.405123276776244,4515264514431,37408
13640,Japan,2008,30073,120602000,24.935739042470274,5037908465114,41773
13652,Japan,2009,30523,120496000,25.331131323861374,5231382674594,43415
13664,Japan,2010,29411,121127267,24.28107289830951,5700098114744,47059
13748,Kazakhstan,1991,3082,14952800,20.611524263014285,24881135586,1664
13760,Kazakhstan,1992,3356,15150100,22.151668965881413,24906939560,1644
13772,Kazakhstan,1993,4019,15331400,26.214174830739527,23409027476,1527
13784,Kazakhstan,1994,4024,15229600,26.422230393444345,21250839258,1395
13796,Kazakhstan,1995,4706,14989600,31.395100603084806,20374307047,1359
13808,Kazakhstan,1996,4773,14487700,32.945187987051085,21035357833,1452
13820,Kazakhstan,1997,4642,14394600,32.248204187681495,22165932063,1540
13832,Kazakhstan,1998,4313,13844200,31.153840597506537,22135245413,1599
13844,Kazakhstan,1999,3991,13773400,28.97614241944618,16870817135,1225
13856,Kazakhstan,2000,4428,13772422,32.15120768155376,18291990619,1328
13868,Kazakhstan,2001,4377,13772696,31.780270180943514,22152694162,1608
13880,Kazakhstan,2002,4240,13777476,30.77486761726168,24636593223,1788
13892,Kazakhstan,2003,4321,13811863,31.284700695337044,30833699703,2232
13904,Kazakhstan,2004,4394,13873328,31.67228512149356,43151647003,3110
13916,Kazakhstan,2005,3903,13947770,27.982967886622735,57123671734,4096
13928,Kazakhstan,2006,4076,14037676,29.036145299264636,81003884545,5770
13940,Kazakhstan,2007,4141,14125606,29.315556444091673,104849886826,7423
13952,Kazakhstan,2008,3997,14216053,28.116102268330035,133441612247,9387
13964,Kazakhstan,2009,3838,14370635,26.707240146312255,115308661143,8024
13976,Kazakhstan,2010,3609,14713167,24.529049388211252,148047348241,10062
14048,Kiribati,1991,10,61855,16.166841807452915,47515189,768
14060,Kiribati,1992,4,62856,6.363752068219422,47737955,759
14072,Kiribati,1993,12,63848,18.794637263500814,46919625,735
14084,Kiribati,1994,10,64871,15.415208644849008,54832578,845
14096,Kiribati,1995,2,65923,3.033842513235138,56338028,855
14108,Kiribati,1996,6,67126,8.938414325298693,66515377,991
14120,Kiribati,1997,5,68328,7.317644303945674,67537480,988
14132,Kiribati,1998,4,69570,5.749604714675866,65334841,939
14144,Kiribati,1999,0,70938,0.0,69032258,973
14156,Kiribati,2000,0,72440,0.0,67254174,928
14168,Kiribati,2001,0,73851,0.0,63101272,854
14216,Kuwait,1993,18,1273600,1.4133165829145728,23941391391,18798
14228,Kuwait,1994,30,1448000,2.0718232044198897,24848483838,17161
14240,Kuwait,1995,26,1511100,1.7206008867712264,27191689008,17995
14252,Kuwait,1996,30,1568700,1.9124115509657678,31493987642,20076
14264,Kuwait,1997,33,1617500,2.0401854714064913,30354434553,18766
14276,Kuwait,1998,35,1825766,1.9170036028713429,25941929462,14209
14288,Kuwait,1999,46,1898700,2.422710275451625,30121879435,15864
14300,Kuwait,2000,34,1973153,1.7231304414812232,37711864407,19112
14312,Kuwait,2001,30,2038530,1.4716486880251947,34890772742,17116
14324,Kuwait,2002,45,2158603,2.0846816204739826,38137545245,17668
14336,Kuwait,2003,44,1950622,2.255690748899582,47875838926,24544
14348,Kuwait,2004,45,1996086,2.2544118840570997,59440108585,29778
14360,Kuwait,2005,52,2062968,2.520640165043762,80797945205,39166
14372,Kuwait,2006,45,2165713,2.077837645154275,101550654721,46890
14384,Kuwait,2007,51,3074918,1.6585808141875653,114641097818,37283
14396,Kuwait,2008,47,3369394,1.3949095890833783,147395833333,43746
14408,Kuwait,2009,61,3165654,1.9269320020444434,105899930507,33453
14420,Kuwait,2010,39,3281614,1.188439591006133,115419050942,35171
14492,Kyrgyzstan,1991,543,3796500,14.302647175029632,2570833333,677
14504,Kyrgyzstan,1992,491,3839300,12.788789623108379,2316562500,603
14516,Kyrgyzstan,1993,563,3841200,14.656878058939915,2028295455,528
14528,Kyrgyzstan,1994,581,3851100,15.086598634156475,1681006993,437
14540,Kyrgyzstan,1995,605,3905400,15.491370922312695,1661018519,425
14552,Kyrgyzstan,1996,480,3978800,12.063938876043029,1827570586,459
14564,Kyrgyzstan,1997,496,4059900,12.217049681026626,1767864036,435
14576,Kyrgyzstan,1998,509,4139700,12.295576974176873,1645963750,398
14588,Kyrgyzstan,1999,556,4298100,12.935948442334984,1249062025,291
14600,Kyrgyzstan,2000,510,4369202,11.67261206966398,1369693171,313
14612,Kyrgyzstan,2001,560,4425784,12.653125412356319,1525112242,345
14624,Kyrgyzstan,2002,567,4473163,12.67559442837205,1605640633,359
14636,Kyrgyzstan,2003,479,4520843,10.595369049533462,1919012781,424
14648,Kyrgyzstan,2004,438,4572278,9.579470014727889,2211535312,484
14660,Kyrgyzstan,2005,470,4614533,10.185212674825383,2460248026,533
14672,Kyrgyzstan,2006,463,4646475,9.964543013790024,2834168889,610
14684,Kyrgyzstan,2007,482,4668640,10.324205764419617,3802566171,814
14696,Kyrgyzstan,2008,473,4690924,10.083301285631572,5139957785,1096
14708,Kyrgyzstan,2009,458,4800134,9.541400302574887,4690062255,977
14720,Kyrgyzstan,2010,500,4837556,10.335797663117491,4794357795,991
14792,Latvia,1995,1024,2374700,43.12123636669895,5788368511,2438
14804,Latvia,1996,922,2363400,39.01159346703901,5970044666,2526
14816,Latvia,1997,886,2354700,37.62687391175097,6525676264,2771
14828,Latvia,1998,839,2344100,35.79198839639947,7174985107,3061
14840,Latvia,1999,763,2333400,32.69906574097883,7533187605,3228
14852,Latvia,2000,770,2272107,33.88924905385178,7937758980,3494
14864,Latvia,2001,708,2242227,31.575750358906568,8350252966,3724
14876,Latvia,2002,670,2214484,30.255355197870024,9546441564,4311
14888,Latvia,2003,604,2190211,27.5772516894491,11748433157,5364
14900,Latvia,2004,563,2163477,26.022925133939488,14373269156,6644
14912,Latvia,2005,564,2137831,26.38187957794606,16922504045,7916
14924,Latvia,2006,487,2115215,23.023664261079844,21447021570,10139
14936,Latvia,2007,453,2093878,21.63449828500037,30901399261,14758
14948,Latvia,2008,527,2067529,25.489364357162582,35596016664,17217
14960,Latvia,2009,516,2030316,25.414763022110844,26169854045,12890
14972,Latvia,2010,438,1987906,22.03323497187493,23757368290,11951
15044,Lithuania,1995,1694,3387149,50.01256218725542,7870782261,2324
15056,Lithuania,1996,1722,3375163,51.019758156865315,8385109020,2484
15068,Lithuania,1997,1632,3364273,48.50973746779765,10120274493,3008
15080,Lithuania,1998,1553,3350973,46.344748226858286,11240360898,3354
15092,Lithuania,1999,1550,3333452,46.498344658930144,10972878636,3292
15104,Lithuania,2000,1631,3315125,49.19874816183402,11539211480,3481
15116,Lithuania,2001,1533,3294138,46.53721246650869,12252498921,3719
15128,Lithuania,2002,1551,3274488,47.36618365985766,14278357284,4360
15140,Lithuania,2003,1455,3254127,44.71245283297179,18802576988,5778
15152,Lithuania,2004,1380,3222969,42.81766284441458,22649930576,7028
15164,Lithuania,2005,1319,3174728,41.546866377214045,26125575942,8229
15176,Lithuania,2006,1049,3125767,33.55976309174676,30216060233,9667
15188,Lithuania,2007,1025,3087867,33.19443486393682,39738180077,12869
15200,Lithuania,2008,1111,3053756,36.381426675870635,47850551149,15669
15212,Lithuania,2009,1138,3016497,37.725878726217864,37440673478,12412
15224,Lithuania,2010,1018,2949737,34.511551368816946,37120517694,12584
15378,Luxembourg,1991,77,362900,21.217966381923397,14321878795,39465
15390,Luxembourg,1992,59,367300,16.063163626463382,16065740778,43740
15402,Luxembourg,1993,64,372000,17.204301075268816,16486900187,44320
15414,Luxembourg,1994,74,377000,19.628647214854112,18325791415,48610
15426,Luxembourg,1995,63,382100,16.487830410887202,21588170498,56499
15438,Luxembourg,1996,72,387700,18.571060098013927,21776609772,56169
15450,Luxembourg,1997,81,392600,20.631686194600103,19731912494,50260
15462,Luxembourg,1998,64,397915,16.0838370003644,20209122027,50788
15474,Luxembourg,1999,70,403890,17.331451632870337,22235929043,55054
15486,Luxembourg,2000,62,410164,15.115904857569168,21263514833,51841
15498,Luxembourg,2001,73,413930,17.635832145531854,21272418792,51391
15510,Luxembourg,2002,85,418106,20.32977283272663,23616328816,56484
15522,Luxembourg,2003,48,423654,11.330000424875015,29557325056,69768
15534,Luxembourg,2004,62,430128,14.414313878659376,34685281848,80639
15546,Luxembourg,2005,49,437338,11.204148736217753,37347394603,85397
15558,Luxembourg,2006,65,444821,14.61261945816407,42414308117,95351
15570,Luxembourg,2007,78,452012,17.256179039494526,50888134410,112581
15582,Luxembourg,2008,43,460371,9.340292937652459,55849686539,121315
15594,Luxembourg,2009,48,469209,10.229982800841416,51370543206,109483
15606,Luxembourg,2010,54,477979,11.297567466353124,53212476812,111328
15678,Macau,1994,27,346542,7.791263396644562,6265844252,18081
15690,Maldives,2000,0,247387,0.0,624337145,2524
15702,Maldives,2001,3,255503,1.1741545109059386,870179739,3406
15714,Maldives,2002,3,263747,1.1374536961557857,897031250,3401
15726,Maldives,2003,4,272110,1.4699937525265518,1052121055,3867
15738,Maldives,2004,1,280526,0.35647319678033407,1226829563,4373
15750,Maldives,2005,1,288936,0.3460974056538472,1163362438,4026
15762,Maldives,2007,5,305536,1.6364683703393381,1868383461,6115
15774,Maldives,2008,0,313924,0.0,2271646188,7236
15786,Maldives,2010,1,331559,0.30160544578792914,2588176055,7806
15882,Malta,1991,10,330800,3.022974607013301,2750041434,8313
15894,Malta,1992,18,334300,5.384385282680228,3021910217,9040
15906,Malta,1993,16,337700,4.737933076695292,2709178327,8022
15918,Malta,1994,15,341700,4.389815627743634,2998570147,8775
15930,Malta,1995,17,344900,4.928964917367352,3439931907,9974
15942,Malta,1996,10,348200,2.8719126938541066,3570271558,10254
15954,Malta,1997,15,350400,4.280821917808219,3705372039,10575
15966,Malta,1998,12,353400,3.395585738539898,3923637971,11103
15978,Malta,1999,27,355600,7.592800899887514,4127313818,11607
15990,Malta,2000,23,362676,6.341748557941523,4306192436,11873
16002,Malta,2001,30,370541,8.096270048388707,4331870648,11691
16014,Malta,2002,19,374456,5.074027389065738,4689832690,12524
16026,Malta,2003,20,377785,5.29401643792104,5456583589,14444
16038,Malta,2004,24,380918,6.300568626318525,6062780269,15916
16050,Malta,2005,19,384111,4.946486822819446,6394851387,16648
16062,Malta,2006,26,386038,6.735088255560333,6757119558,17504
16074,Malta,2007,26,387581,6.708275173447615,7880509171,20333
16086,Malta,2008,14,390195,3.5879496149361216,8977149553,23007
16098,Malta,2009,36,393102,9.157928476578597,8528202278,21695
16110,Malta,2010,31,394949,7.849114695821486,8741059603,22132
16254,Mauritius,1991,137,938100,14.603986781792987,2856890681,3045
16266,Mauritius,1992,146,948300,15.395971738901192,3224267548,3400
16278,Mauritius,1993,138,958300,14.400500886987373,3263368410,3405
16290,Mauritius,1994,129,972800,13.260690789473685,3558137040,3658
16302,Mauritius,1995,147,981900,14.970974641002138,4040345933,4115
16314,Mauritius,1996,153,995000,15.376884422110553,4421943910,4444
16326,Mauritius,1997,122,1011700,12.058910744291786,4187367602,4139
16338,Mauritius,1998,155,1026300,15.102796453278769,4169664285,4063
16350,Mauritius,1999,174,1042400,16.69224865694551,4291172816,4117
16362,Mauritius,2000,137,1056073,12.972588069195973,4582555125,4339
16374,Mauritius,2001,113,1068947,10.571150861548794,4536538211,4244
16386,Mauritius,2002,131,1079755,12.132381882927145,4767303154,4415
16398,Mauritius,2003,88,1092234,8.05688158398292,5609831328,5136
16410,Mauritius,2004,97,1103091,8.79347216140826,6385695187,5789
16422,Mauritius,2005,102,1113942,9.156670634557274,6283803256,5641
16434,Mauritius,2006,118,1125301,10.486083279051561,7028803366,6246
16446,Mauritius,2007,127,1135233,11.187130747608641,8150138757,7179
16458,Mauritius,2008,84,1146258,7.3281931292954985,9990370016,8716
16470,Mauritius,2009,115,1159551,9.917631910972437,9128843109,7873
16482,Mauritius,2010,98,1164931,8.412515419368185,10003670690,8587
16636,Mexico,1991,2103,74796300,2.811636404474553,314454015372,4204
16648,Mexico,1992,2237,75285800,2.9713438656426576,363609163462,4830
16660,Mexico,1993,2342,76826800,3.048415396710523,500736065605,6518
16672,Mexico,1994,2588,78374100,3.302111284212514,527813238126,6735
16684,Mexico,1995,2877,79927100,3.5995300717779077,360073909244,4505
16696,Mexico,1996,3008,83802294,3.589400547913402,410975595310,4904
16708,Mexico,1997,3350,85340880,3.9254340944222745,500413483109,5864
16720,Mexico,1998,3312,86825678,3.814539749404548,526502129378,6064
16732,Mexico,1999,3327,88271977,3.7690330647063677,600232874043,6800
16744,Mexico,2000,3456,89694793,3.8530664762223155,707906744575,7892
16756,Mexico,2001,3760,91052714,4.129476030774876,756706300590,8311
16768,Mexico,2002,3826,92394316,4.140947371697627,772106378935,8357
16780,Mexico,2003,4070,93758859,4.3409231334609135,729336319677,7779
16792,Mexico,2004,4056,95193068,4.260814453422175,782240601985,8217
16804,Mexico,2005,4274,96730008,4.418484075799932,877476221382,9071
16816,Mexico,2006,4230,98468839,4.295775235046693,975387131716,9906
16828,Mexico,2007,4285,100294297,4.272426377344267,1052696282279,10496
16840,Mexico,2008,4642,102170587,4.5433819422022115,1109989038339,10864
16852,Mexico,2009,5023,104044342,4.827749307117537,900045362045,8651
16864,Mexico,2010,4858,105875861,4.588392438197031,1057801282051,9991
16946,Montenegro,2000,0,578668,0.0,984297589,1701
16958,Montenegro,2001,0,578668,0.0,1159869246,2004
16970,Montenegro,2002,0,578668,0.0,1284685051,2220
16982,Montenegro,2003,0,579688,0.0,1707710053,2946
16994,Montenegro,2004,0,581623,0.0,2073234418,3565
17006,Montenegro,2005,118,583232,20.232086030944803,2257174481,3870
17018,Montenegro,2006,0,584885,0.0,2721904403,4654
17030,Montenegro,2007,121,587244,20.604723079333294,3680710375,6268
17042,Montenegro,2008,126,589953,21.35763357419998,4545674528,7705
17054,Montenegro,2009,107,592234,18.067182904054818,4159330370,7023
17138,Netherlands,1991,1611,14114800,11.413551732932808,323320449906,22906
17150,Netherlands,1992,1587,14216900,11.162771068235692,358330385840,25205
17162,Netherlands,1993,1555,14313600,10.863793874357254,349037818106,24385
17174,Netherlands,1994,1584,14397700,11.001757225112344,374291430318,25997
17186,Netherlands,1995,1511,14474000,10.43940859472157,446528959649,30850
17198,Netherlands,1996,1577,14553700,10.835732494142382,445704575163,30625
17210,Netherlands,1997,1572,14639900,10.737778263512729,412199006099,28156
17222,Netherlands,1998,1519,14734600,10.309068451128637,432476116419,29351
17234,Netherlands,1999,1519,14832000,10.241370010787486,441975282335,29799
17246,Netherlands,2000,1501,14933235,10.051405472424428,412807259996,27644
17258,Netherlands,2001,1474,15038337,9.80161569726759,426573601790,28366
17270,Netherlands,2002,1570,15130318,10.3765168716216,465368906456,30757
17282,Netherlands,2003,1502,15203397,9.879371037933167,571863431151,37614
17294,Netherlands,2004,1514,15265861,9.917553946023745,650532654582,42614
17306,Netherlands,2005,1574,15320595,10.273752422800811,678533764457,44289
17318,Netherlands,2006,1525,15368697,9.922767037439804,726649102998,47281
17330,Netherlands,2007,1354,15425404,8.777727960966208,839419655078,54418
17342,Netherlands,2008,1439,15506963,9.279702285998876,936228211513,60375
17354,Netherlands,2009,1530,15602176,9.80632445115348,857932759100,54988
17366,Netherlands,2010,1604,15691409,10.222154046204519,836389937229,53302
17520,New Zealand,1991,474,3203900,14.794469240613003,42756020707,13345
17532,New Zealand,1992,493,3235600,15.236741253554209,41636005955,12868
17544,New Zealand,1993,443,3273200,13.534156177441035,46712018141,14271
17556,New Zealand,1994,512,3319500,15.424009640006025,55154160816,16615
17568,New Zealand,1995,545,3373800,16.153891754105164,63918039320,18945
17580,New Zealand,1996,540,3432500,15.7319737800437,70140835299,20434
17592,New Zealand,1997,562,3470200,16.19503198662901,66074513018,19041
17604,New Zealand,1998,574,3502800,16.38689048760991,56227696195,16052
17616,New Zealand,1999,516,3549300,14.538077930859606,58762260626,16556
17628,New Zealand,2000,458,3573690,12.815884981629631,52622842840,14725
17640,New Zealand,2001,508,3599090,14.11467898829982,53872425917,14968
17652,New Zealand,2002,467,3659190,12.76238730429412,66627729311,18208
17664,New Zealand,2003,519,3729420,13.916373055327638,88250885550,23663
17676,New Zealand,2004,495,3802510,13.017717244662078,103904537815,27325
17688,New Zealand,2005,514,3849280,13.353146562474022,114718721397,29803
17700,New Zealand,2006,527,3898600,13.517673010824398,111608845081,28628
17712,New Zealand,2007,494,3935450,12.552567050781995,137316087308,34892
17724,New Zealand,2008,520,3968450,13.103352694376898,133279679483,33585
17736,New Zealand,2009,512,4009980,12.768143482012379,121338622025,30259
17748,New Zealand,2010,536,4055470,13.216717174581492,146583831538,36145
17796,Nicaragua,2010,351,5107427,6.872344920446245,8758622329,1715
17928,Norway,1991,675,3972600,16.991391028545536,121872464483,30678
17940,Norway,1992,616,3989800,15.43937039450599,130838040068,32793
17952,Norway,1993,590,4010500,14.71138262062087,120579072751,30066
17964,Norway,1994,531,4033300,13.165398061141001,127131461120,31520
17976,Norway,1995,548,4055900,13.51118124214108,152027402450,37483
17988,Norway,1996,517,4078000,12.677783227072094,163517783497,40098
18000,Norway,1997,533,4102100,12.99334487213866,161354369893,39335
18012,Norway,1998,548,4129400,13.270693078897661,154165219812,37334
18024,Norway,1999,583,4159745,14.01528218676866,162286003693,39013
18036,Norway,2000,541,4168315,12.978865560784154,171315639983,41099
18048,Norway,2001,549,4215103,13.024592756096352,174003247439,41281
18060,Norway,2002,494,4243689,11.640815337787476,195418347153,46049
18072,Norway,2003,502,4273124,11.747845370272428,228752436372,53533
18084,Norway,2004,529,4301960,12.296720564579866,264357494659,61450
18096,Norway,2005,533,4335092,12.29501011743234,308722079938,71215
18108,Norway,2006,532,4372103,12.168057339911709,345424664369,79007
18120,Norway,2007,485,4417369,10.979386145916267,401082621083,90797
18132,Norway,2008,505,4472089,11.29226184899272,462554432624,103431
18144,Norway,2009,573,4527536,12.65589053295214,386622457580,85394
18156,Norway,2010,548,4582885,11.957533300530125,429130952709,93638
18228,Oman,2009,13,2607549,0.49855247207243275,48388296489,18557
18240,Oman,2010,13,2748440,0.47299559022572807,58642392718,21337
18324,Panama,1996,113,2472851,4.569624291960979,9870494000,3992
18336,Panama,1997,145,2526210,5.739823688450287,10677286100,4227
18348,Panama,1998,148,2579433,5.737695067094203,11575486400,4488
18360,Panama,1999,143,2633348,5.430349501850876,12130252200,4606
18372,Panama,2000,143,2688510,5.318931303956466,12304115000,4577
18384,Panama,2001,162,2742982,5.905981154816182,12502013400,4558
18396,Panama,2002,160,2800046,5.7141918382769425,12994310400,4641
18408,Panama,2003,195,2858964,6.820652516086247,13693981200,4790
18420,Panama,2004,186,2918453,6.373239521075035,15013381700,5144
18432,Panama,2005,172,2977595,5.776473966405773,16374393900,5499
18444,Panama,2006,185,3037959,6.089614770969589,18141666300,5972
18456,Panama,2007,171,3097138,5.521226370926965,21295984200,6876
18468,Panama,2008,186,3155636,5.894215936185288,25155888600,7972
18480,Panama,2009,177,3214513,5.506277311679872,27116635600,8436
18492,Panama,2010,151,3274415,4.611510758410281,29440287600,8991
18624,Paraguay,1991,75,3662812,2.0476071389959407,6984367763,1907
18636,Paraguay,1994,108,3972517,2.718679366255701,7870982171,1981
18648,Paraguay,1995,118,4076758,2.894456820836557,9062131308,2223
18660,Paraguay,1996,99,4181422,2.3676156101919394,9788391733,2341
18672,Paraguay,1997,126,4284973,2.9405086099725715,9965225497,2326
18684,Paraguay,1998,138,4388094,3.144873377826455,9024567484,2057
18696,Paraguay,1999,161,4492220,3.583974070726723,8392549702,1868
18708,Paraguay,2000,154,4598158,3.349167210000178,8195993231,1782
18720,Paraguay,2001,152,4701314,3.233138650173122,7662595076,1630
18732,Paraguay,2002,177,4809921,3.6798941188431162,6325151760,1315
18744,Paraguay,2003,174,4920489,3.53623389870397,6588103836,1339
18756,Paraguay,2004,234,5027301,4.6545850347930235,8033877360,1598
18768,Paraguay,2005,239,5126457,4.6620892362893125,8734653809,1704
18780,Paraguay,2006,251,5223460,4.8052440336481945,10646157920,2038
18792,Paraguay,2007,227,5307169,4.277233304611178,13794910634,2599
18804,Paraguay,2008,222,5382169,4.1247311260571715,18504130753,3438
18816,Paraguay,2009,283,5456220,5.186741003845153,15929902138,2920
18828,Paraguay,2010,223,5534703,4.029123152588314,20030528043,3619
18888,Philippines,1992,347,55304684,0.6274332929919643,52976344929,958
18900,Philippines,1993,846,56781569,1.4899200830466661,54368083953,957
18912,Philippines,1997,814,62772694,1.296742179011785,82344260571,1312
18924,Philippines,1998,883,64252614,1.3742631544920492,72207028767,1124
18936,Philippines,1999,1043,65740201,1.5865482370520894,82995145792,1262
18948,Philippines,2000,1403,67243482,2.0864475756921688,81026300311,1205
18960,Philippines,2001,1204,68738092,1.7515761129942333,76262072468,1109
18972,Philippines,2002,1301,70256443,1.8517874581267941,81357605642,1158
18984,Philippines,2003,1544,71781489,2.150972376736292,83908206648,1169
18996,Philippines,2006,1788,76435755,2.3392193875758798,122210716310,1599
19008,Philippines,2007,1698,78008654,2.176681576892738,149359918060,1915
19020,Philippines,2008,1820,79595888,2.2865502800848203,174195136253,2188
19032,Philippines,2009,2074,81193855,2.5543805008396263,168334601260,2073
19044,Philippines,2010,2116,82760992,2.55676007363469,199590775189,2412
19080,Poland,1991,5316,35396300,15.01851888474219,85500935935,2416
19092,Poland,1992,5713,35605400,16.045318968471076,94337050693,2650
19104,Poland,1993,5624,35792600,15.712745092561033,96045645026,2683
19116,Poland,1994,5519,35960000,15.347608453837598,110803391517,3081
19128,Poland,1995,5499,36104900,15.230619666582653,142137319588,3937
19140,Poland,1996,5446,36243300,15.026225536857847,159942880457,4413
19152,Poland,1999,5779,36575200,15.800323716616724,169717677901,4640
19164,Poland,2000,5841,36233344,16.12051043370438,171885598583,4744
19176,Poland,2001,5855,36295390,16.131525243288472,190521263343,5249
19188,Poland,2002,5925,36347498,16.300984458407562,198680637255,5466
19200,Poland,2003,5836,36353775,16.05335346879382,217513049292,5983
19212,Poland,2004,6072,36371596,16.694345774653385,255102252843,7014
19224,Poland,2005,6045,36371365,16.620217580505983,306125173853,8417
19236,Poland,2006,5805,36348232,15.97051542974635,344748646558,9485
19248,Poland,2007,5284,36310843,14.55212703268828,429063549984,11816
19260,Poland,2008,5682,36262711,15.6689884548345,533815789474,14721
19272,Poland,2009,6477,36223402,17.880705959092413,439796160379,12141
19284,Poland,2010,6357,36027791,17.64471210571861,479321460551,13304
19428,Portugal,1991,942,9410507,10.010087660526686,89242382961,9483
19440,Portugal,1992,866,9401557,9.21124022329493,107602689041,11445
19452,Portugal,1993,780,9410082,8.28898196636331,95019103603,10098
19464,Portugal,1994,762,9436009,8.07544799925477,99698453261,10566
19476,Portugal,1995,809,9473844,8.53930041491078,118133634072,12469
19488,Portugal,1996,653,9515960,6.86215578880113,122629812841,12887
19500,Portugal,1997,628,9564579,6.565892759106282,117046198971,12237
19512,Portugal,1998,556,9617110,5.781362592296438,123981736420,12892
19524,Portugal,1999,545,9671357,5.6351967981328785,127465545493,13180
19536,Portugal,2000,524,9740085,5.3798298474807975,118358489958,12152
19548,Portugal,2001,761,9809536,7.757757349583099,121545880984,12391
19560,Portugal,2002,1210,9859832,12.272014371035937,134228697534,13614
19572,Portugal,2003,1156,9895009,11.682657388184285,164964195260,16671
19584,Portugal,2007,1020,10005713,10.194176067212801,240169336162,24003
19596,Portugal,2008,1038,10030640,10.348292830766532,262007590450,26121
19608,Portugal,2009,1025,10049918,10.199088191565345,243745748819,24254
19620,Portugal,2010,1099,10066628,10.917260476894548,238303443425,23673
19752,Puerto Rico,1991,355,3237200,10.966267144445817,32287031000,9974
19764,Puerto Rico,1992,314,3287900,9.55016880075428,34630430000,10533
19776,Puerto Rico,1993,345,3312472,10.415182377390662,36922456000,11146
19788,Puerto Rico,1994,355,3343624,10.617222510665075,39690630000,11871
19800,Puerto Rico,1995,289,3375154,8.562572255962246,42647331000,12636
19812,Puerto Rico,1996,331,3401823,9.73007707926015,45340835000,13328
19824,Puerto Rico,1997,273,3432757,7.952791298655861,48187039000,14037
19836,Puerto Rico,1998,321,3464834,9.26451310510114,54086400000,15610
19848,Puerto Rico,1999,289,3492721,8.274351143420846,57841000000,16560
